status,time,printing_time,user,info,path
1,2024-05-14 15:26,00:00,983933445,Хочу красным цветом,.\models\платформа пластиковая.m3d
2,2024-05-14 21:47,00:00,1841192383,52,.\models\rasspberry.m3d
1,2024-05-14 22:15,00:00,517146728,"SBS пластик, слой 0.04 мм, сопло 0.1. Цвет Перламудровый",.\models\Держатель шасси 4.stp
0,2024-05-14 22:22,00:00,1841192383,хочу чтобы напечатали желтым пластиком 2 штуки,.\models\крепление.m3d
